1019531,21 Furnace Street,216,46,44308
1019258,2315 Ira Rd.,216,46,44333
1019325,2299 South St.,217,46,06238
1019296,3rd and Greenup Street,218,46,41011
1012552,3821 SOUTHWEST BLVD,219,46,
1009993,410 W 9th St.,219,46,69130
1019130,"Decks Reserve Carpark, Wallace Street, Mouteka",220,47,70105
1021330,100 W Pike St.,220,47,47933
1021331,400 Parke Avenue,220,47,47933
1021227,3650 W Martin Luther King Jr Blvd,220,47,90008
1019260,200 Broadway Street,220,47,70118
1019261,1235 N. Peters,220,47,70116
1019262,200 Broadway Street,220,47,70118
1002470,Front Street and Garrison Street,221,47,43420
1021391,"705 E. Union Avenue, Room 2",222,47,72396
1012365,Anne St. at University Blvd. E,222,47,20912
1001869,"Depot Park, Woodstock & Williams Streets",223,47,60014
1021346,Main Street in Culver City,223,47,90232
1019701,819 E. Lake Shore Drive,224,47,46511
1019702,107 N Main Street,224,47,46511
1020109,819 S Main Street,224,47,42717
1021387,11501 E Washington Street,224,47,46229
1019539,1817 Front Street,224,47,44222
1021408,206 West 3rd St.,225,47,71742
1004516,120 White Street,226,47,06810
1019163,120 N Front St,227,47,
1012505,Main Street,228,47,53530
1018157,North Park Mall east entrance,229,47,52804
1019880,,229,47,68632
1012254,Ash  and 8th street,230,47,56232
1019100,Kestrel Rise Rd. and Daybreak Pkwy/W 11400 S,231,47,84009
1021457,520 N. Main St.,231,47,63020
1018945,22271 West Village Drive,231,47,48124
1019970,308 Clairemont Ave,232,47,30030
1021570,Heivly Street,233,47,52101
1012296,DeForest Street,234,47,53532
1011103,2nd and Locust Streets,234,47,60115
1002536,1410 Del Monte Center,234,47,93940
1020061,1709 W Douglas,235,47,67213
1018416,605 S Railroad (Hwy 330),236,47,70528
1019308,332 Kenwood Ave,237,47,12054
1020191,"NE 2nd Avenue, half block east of Atlantic Avenue",238,47,33444
1021591,9421 18th Ave SW,238,47,98106
1021649,317 w Mulberry St,239,47,76201
1007255,22307 Dock Ave S,239,47,98198
1003628,3233 Alpine,240,47,48130
1021318,1600 East Moyamensing Avenue,240,47,19148
1021261,12921 North Street,241,47,47018
1018958,1 N. 2nd Street,241,47,17019
1019458,136 N Bridge St,242,47,48821
1018816,5401 Courthouse Circle,243,47,31023
1019742,327 N. Iowa Street,244,47,53533
1019439,390 Main Street,245,47,81324
1019964,FW Gestrin and E. Roseberry Rd,246,47,83615
1018706,1353 Dorchester Avenue,247,47,02122
1020111,2999 Darbytown Road,248,47,23231
1003046,118 S. Main St,249,47,53118
1009829,550 Central Avenue,249,47,03820
1009894,W. 23rd Street off 9th Avenue,250,47,10011
1021296,Parking lot off Union Turnpike,251,47,11366
1010954,Parking Lot off Chatsworth Ave.,252,47,10538
1016793,Harbor Island Park,252,47,10543
1010969,At the center of the park,253,47,11222
1010972,110th Street and Manhattan Avenue,253,47,10026
1010958,Thomas Paine Cottage Museum,253,47,10804
1016792,Near the corner of Spring & Main Streets,253,47,10562
1009895,4th Street at 5th Avenue,253,47,11215
1010982,Dahlia Avenue at Main Street,253,47,11355
1010960,Parking lot off Theodore Fremd Ave.,253,47,10580
1016867,1 Park Lane,254,47,19335
1019667,14801 Main Street,254,47,32615
1009043,Park Avenue and Harrison Avenue,254,47,48101
1003643,"300 block of State Street, 400 block of East Grand Avenue, Gantry parking lot",254,47,53511
1020064,1947 Center St.,255,47,94704
1020000,200 N. Main,256,47,61701
1020001,101 S. Madison,256,47,61701
1019370,202 N. Buffalo St.,257,47,75103
1019944,,257,47,95928
1021401,718 Parkway,257,47,72032
1000841,701 W. Main St.,258,47,75020
1019401,S. Spring Ave,258,47,60120
1021631,University Place at Oak Street,258,47,60201
1008853,"3rd, 4th and Bond Sts.",259,47,47708
1002400,206 S 4th Street,260,47,42071
1019032,101 North Main Street,260,47,29720
1019856,on the court square at 4th Street and Maple Street,260,47,42071-0002
1019216,Melody Lane and Marina Square,261,47,34950
1012243,Main Street from Western Ave. to Sheboygan St.,262,47,54935
1012256,Main Street Plaza,262,47,54935
1019654,200 S. Washington Street,263,47,54301
1019341,US 50 and Park Streets,263,47,47025
1019083,7 Town Square,263,47,45801
1009757,2103 Main Street / Historic Red Caboose Site,263,47,39110
1018930,112 S. Third St.,264,47,49855
1003977,Corner of Hwy 101 & Angle St,264,47,72112
1018621,7th Street behind the CVS between Grant Ave & Novato Blvd,265,47,94947
1019721,"Gilman St, between Hamilton and Forest",265,47,94301
1021716,721 N Central Ave,266,48,85004
1021411,Railyard Park,266,48,72756
1005281,Cedar St & Lincoln St.,267,48,
1019525,Yakima Ave & S 3rd Street,268,48,98901
1019729,421 Linden St.,269,48,38225
1004676,3100 Swann Drive,269,48,21217
1005358,4201 Central Parkway,269,48,94568
1005197,Iowa Street between 10th & 13th Streets,270,48,52001
1019994,Gitch ode' Akiing formerly known as Lake Place Park 214 E Superior Street,271,48,55802
1018953,259 W 9th Street,272,48,81301
1000312,501 Foster Street,273,48,27701
1009830,"Jackson Landing, 10 Old Piscataqua Road",273,48,
1012345,16201 Main St. NE at Taylor Landing,273,48,98019
1019082,40 East Center Street,274,48,89406
1019870,5th St. and Hwy 34,274,48,68347
1021275,13555 Valley Lodge Parkway,274,48,77346
1018159,572 Stokeswood Avenue,275,48,30316
1021303,Across from 201 Border St.,275,48,02128
1021414,250 Sumner street,275,48,02128
1011673,2600 Navigation Blvd.,275,48,77003
1019079,Between 10 and 20 Community Way in parking lot,276,48,12061
1020133,Hollywood Blvd. and Western Ave.,276,48,90028
1011113,511 Woodland Street,276,48,TN
1019510,44 City Hall Plaza,276,48,07018
1020172,2555 Pulgas Avenue,276,48,94303
1012717,2757 East Point St.,276,48,30344
1019094,760 E Water St Elmira,277,48,14901
1021300,17701 SE Mill Plain Blvd.,278,48,98683
1019125,4927 - 5089 Transit Road,278,48,14221
1021698,50 Payson Ave,279,48,01027
1009867,128 Larry Holmes Drive,280,48,18042
1019624,2020 MLK Jr. Ave,281,48,37915
1021710,660 Douglas Pike,281,48,02917
1021228,1146 Logan St,281,48,90026
1012783,200 North Broad St,282,48,27932
1012160,5th Ave between Main and Bell & Bell St. between 5th & 6th Ave,283,48,98020
1019118,7809 Highway 42,284,48,54209
1021652,"1051 Greenfield Drive, ",284,48,92021
1021574,Town Center Blvd.,284,48,95762
1019936,10700 Main Street,284,48,91731
1012634,Corner of Edgington Ave. and 14th Street,285,48,50627
1019921,,285,48,78621
1021587,301 NIBCO Parkway,286,48,46516
1018900,Main ST,286,48,06029
1018898,11 Pinney St,286,48,06029
1020112,2944 S KY 7,287,48,41171
1018717,Elm Street,287,48,02465
1021207,Elmwood and Bidwell,287,48,14221
1002657,235 Main St,287,48,18049
1002769,10234 Front Street,288,48,49630
1019398,931 E 4th St,289,48,64801
1012045,17400 Victory Blvd,289,48,91406
1018940,,290,48,
1019684,70 Pisgah Hwy,291,48,28715
1018765,104 North McKinney Street,292,48,75119
1019687,1600 1st Street,292,48,98022
1006678,1105 N.Railroad  Avenue,293,49,87532
1003568,664 Wade St,294,49,97023
1020053,514 N Hwy 3,295,49,96027
1019954,44 Kingshighway,295,49,72632
1010195,200 South Main Street,296,49,49631
1005267,91-955 North Road,296,49,96706
1007798,"Swasey Parkway, off Water Street",296,49,
1019081,On The Green,297,49,05777
1018622,124 Bolinas Avenue,297,49,94930
1019186,10500 Page Avenue,297,49,22030
1019049,50 N. Pine St.,298,50,74343
1018562,319 W. Hastings Rd.,299,50,99218
1019457,600 Fallbrook Blvd,299,50,68522
1010889,E Falls Park Drive and N 2nd Ave,300,50,57101
1019841,7802 Marsh Road,300,50,46278
1021514,120 S Kimball Ave,301,50,83605
1019499,310 S. Manning Blvd,301,50,12206
1019523,221 N. Main St,302,50,88001
1018937,12700 Denton Drive,302,50,75234
1019436,33955 Community College Dr.,303,51,99669
1021666,301 4th St,304,51,47932
1021734,301 4th St,304,51,47932
1018131,750 Aurora Avenue,305,51,60540
1020104,101 E. Depot Street,305,51,40069
1021388,620 N Apple Street,305,51,46140
1019705,8711 E Pinnacle Peak Road,305,51,85252
1005069,40 Calhoun Street,306,51,29910
1021404,Hwy. 72 east,306,51,72736
1021620,412 West Main Street,306,51,47250
1005159,2144 E Republic Rd,307,51,65804
1021538,Historic 25th Street and Grant Avenue,308,51,84401
1021581,1225 W Grand Parkway S,308,51,77494
1019993,1099 Legion Park Road,309,51,42743
1020079,105 Merchant Street,310,51,42728
1020080,105 Merchant Street,310,51,42728
1021595,5855 Sienna Springs Way,311,51,77459
1019862,2A N Hanover St,311,51,17013
1018427,"Eastern Gateway Community College, 4000 Sunset Boulevard",311,51,43952
1016870,46-2600 Hawaii Belt Highway,311,51,96727
1021460,101 E East St,311,51,43160
1019800,401 N Central Ave,311,51,47331
1012627,East Camden,312,51,27312
1002721,"St. John's Church, Hwy. 9",312,51,95018
1018973,"Plaza 501, 501 S. Florissant Rd.",312,51,63135
1021676,27021 Kanis Rd,313,51,72223
1021665,300 Cottonwood Lane,314,51,89408
1020193,1 Ferry Building,315,51,94111
1012308,942 Main Street,316,51,12043
1019771,1445 Compton Road,317,51,45231
1018193,West Fifth Street,318,51,44882
1020008,315 W Simcoe,318,51,70501
1019677,15615 East 21st Street North,318,51,67230
1004377,9116 Hwy 42,318,51,54212
1019914,1011 Point Judith Rd,318,51,02882
1019897,1384 Elizaville Rd,319,51,41041
1020091,361 N. Lake Drive,319,51,41653
1020065,400 Block Lafollette Station,319,51,47119
1021453,2200 W Fond du Lac Ave,320,51,53206
1019123,200 S. David St.,321,51,82601
1000958,15583 Forest Road,322,51,24551
1021638,2030 Main St,322,51,97116
1021504,1840 Ardmore Blvd,322,51,15221
1002803,1650 Ashwood Blvd.,323,51,22911
1018989,,323,51,
1021680,2nd and Gartison Ave,324,51,72901
1018505,213 E Sumner Avenue,325,51,88119
1019101,17 E School St.,325,51,60020
1002880,534 North Main Street,326,51,48734
1019298,404 Wilkinson Blvd.,326,51,40601
1019147,Parking Lot 2 Blocks West of the Courthouse,326,51,46131
1021654,1777 East Broad Street,326,51,43203
1020092,304 N Main St,327,51,42134
1020007,2000 W. Franklin Street,327,51,47710
1021565,102 S Church St,327,51,46044
1012429,453 Freedom Pkwy NE,327,51,30307
1018415,1102 W 32nd Street,328,51,64801
1021353,421 West River Drive #32,328,51,52801
1019600,2032 Central Plaza,329,51,78130
1019404,"213 F Street, Antioch",330,51,94509
1012466,,330,51,
1018671,1624 20th St NW,330,51,20009
1011730,1100 S Friendswood Dr.,331,51,77546
1021552,801 Cochran Ave,331,51,41075
1019762,301 E Wayne Street,331,51,46802
1019285,216 W Douglas Ave,331,51,46802
1019998,9035 Bois d'Arc Lane,331,51,77406
1018121,,331,51,46975
1019949,91 South St.,331,51,10038
1006661,1145 East Fulton,331,51,49503
1021590,121 N Main St.,332,51,27526
1021444,210 W 7th St,332,51,66739
1021730,210 W 7th St,332,51,66739
1019630,160 W Franklin St,333,51,37066
1011814,1370 Galleria @ Tyler,333,51,92503
1018970,1210 Fleming,334,51,67846
1018831,136 E Washington St,334,51,66030
1019728,2345 Pagoda Dr,334,51,46225
1021662,135 N Kedzie Ave.,334,51,60612
1020095,117 Lexington RD,335,51,40444
1019587,1028 E Main Street,336,51,46933
1021677,602 East Jefferson Ave,337,51,71854
1021416,1327 S. 18th Street,337,51,54812
1012033,122 Screven St,338,51,29440
1019602,6719 W. Montgomery,339,51,77091
1019603,6402 Market St.,339,51,77020
1019604,3810 W. Fuqua St.,339,51,77045
1019605,7037 Capitol St. 77011,339,51,77011
1019606,9720 Spaulding St. 77016,339,51,77016
1019607,6400 High Star Dr.,339,51,77074
1019608,9314 Cullen St. 77051,339,51,77051
1021461,222 N Ash St,339,51,85234
1021284,1385 NH Route 140,340,51,03237
1008573,602 NE 70th Street,340,51,64118
1002767,6394 Western Ave.,340,51,49636
1005588,201  W CHASTAIN BLVD. WEST,341,51,35905
1019710,10 Sanford St,341,51,12801
1019414,,341,51,60626
1021364,1095 Ives Rd,341,51,02818
1020050,9150 Garland Road,341,51,75218
1019833,411 Rosie Park Way,342,51,55027
1021350,Corner of 13th and Main,343,51,83330
1021308,6300 Ridge Avenue,343,51,19128
1012253,South Church and Main Street,343,51,10924
1021392,505 S. Main St.,344,51,72160
1005937,11 Golf Course Road,345,51,55744
1017947,2080 Westover Ave SW,346,51,24015
1021484,1040 Grant Street SE,346,51,30315
1019989,W.145th. Street between Edgecombe & Bradhurst Aves.,346,51,10031
1009808,Peskeomskut Park,346,51,01376
1021456,909 National Pike West,346,51,15417
1006059,317 Washington St.,346,51,13601
1021289,902 7th Ave.,347,51,80631
1021319,1817 N. Clark St,347,51,60614
1021320,115 S. Sangamon St,347,51,60607
1004849,1071 Piedmont Ave NE,347,51,30309
1006997,617 Michigan Avenue,347,51,56484
1019805,25 Crescent Road,347,51,20770
1019132,42 Carmen Place,347,51,22968
1018472,739 Third Street,347,51,70053
1021382,833 4th Ave,348,51,50112
1021536,4411 Kikowaena St,349,51,96766
1019088,4000 Gus Young Ave,350,51,70802
1021247,3647 Karleen Rd,350,51,30815
1018619,400 Block of South River Park Drive,351,51,52052
1005265,99-795 Iwaiwa Street,351,51,96701
1001804,209 South Main Street,352,51,24558
1021584,Hamilton Park,353,51,07302
1019673,345 High Street,353,51,45011
1018774,7165 Ramsey Street,353,51,28310
1019738,106 Western Ave.,353,51,04444
1019209,7400 Hampton Blvd.,353,51,23505
1001597,1st Street NW and 1st Ave. NW,353,51,50441
1021583,Hana Highway,354,51,96713
1006425,55299C Kuhio Hwy,354,51,96714
1019065,200 West Main Cross,354,51,45840
1019148,210 East Chestnut Street,354,51,17331
1019533,647 E. Market Street,354,51,44304
1019770,381 Ontario Street,354,51,44310
